Campaign,Ad Group,Keyword,Criterion Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,schedule automated api tests,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,api testing cli tools,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,command line api client,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,run postman collection in ci/cd,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,github actions api testing,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,jenkins api test pipeline,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,newman alternative,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,postman cli alternative,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,bruno cli alternative,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,inso cli alternative,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,curl alternative for api testing,Phrase,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,httpie alternative,Exact,,,,,,,,,,,,,,,,,,,,,
Google-Sa-CLI-Terminal-Global,CLI-Automated-Testing,,,Responsive search ad,The Ultimate API CLI Tool,Run API Tests in CI/CD,Better Than Newman CLI,Best Postman CLI Alternative,Terminal-Based API Testing,Command Line API Client,Automate Your API Tests,Perfect CI/CD Integration,Zero UI Required,100% Terminal Efficiency,Lightweight API CLI,Automate API Documentation,Fast API Test Execution,API Testing for DevOps,Try Apidog CLI for Free,"Zero UI required. Execute API tests, generate mocks, and deploy directly from your terminal.","Seamlessly integrates with Jenkins, GitHub Actions, and GitLab. Master your CI/CD pipeline.","The perfect Newman and Postman CLI alternative. Lightweight, fast, and highly customizable.","Built for DevOps and backend engineers. Run complex test suites entirely in the command line.",https://apidog.com/apidog-cli/
Google-Sa-CLI-Terminal-Global,CLI-Alternatives,,,Responsive search ad,The Ultimate API CLI Tool,Run API Tests in CI/CD,Better Than Newman CLI,Best Postman CLI Alternative,Terminal-Based API Testing,Command Line API Client,Automate Your API Tests,Perfect CI/CD Integration,Zero UI Required,100% Terminal Efficiency,Lightweight API CLI,Automate API Documentation,Fast API Test Execution,API Testing for DevOps,Try Apidog CLI for Free,"Zero UI required. Execute API tests, generate mocks, and deploy directly from your terminal.","Seamlessly integrates with Jenkins, GitHub Actions, and GitLab. Master your CI/CD pipeline.","The perfect Newman and Postman CLI alternative. Lightweight, fast, and highly customizable.","Built for DevOps and backend engineers. Run complex test suites entirely in the command line.",https://apidog.com/apidog-cli/
