Campaign,Search Term,Clicks,Impressions,Cost ($),Suggest Negative
Google-Sa-DSA-Global,heygen,307,1941,140.19,No
Google-Sa-DSA-Postman-Global,postman,93,2507,56.15,No
Google-Sa-DSA-Global,node js,31,741,14.45,No
Google-Sa-DSA-Postman-Global,minimax agent,21,64,12.82,Yes (AI Term)
Google-Sa-DSA-Postman-Global,postman download,16,324,12.65,No
Google-Sa-DSA-Global,kilo code,27,213,10.1,No
Google-Sa-DSA-Global,hey gen,24,197,9.0,No
Google-Sa-DSA-Postman-Global,postman online,8,170,8.39,No
Google-Sa-DSA-Global,apidog,15,32,6.8,No
Google-Sa-DSA-Global,claude code,15,250,5.9,Yes (AI Term)
Google-Sa-DSA-Postman-Global,dogapi,5,5,4.84,No
Google-Sa-DSA-Postman-Global,websocket,12,413,4.67,No
Google-Sa-DSA-Postman-Global,thunder client,10,83,4.62,No
Google-Sa-DSA-Global,linux download,9,44,4.27,No
Google-Sa-DSA-Postman-Global,https www postman com downloads,4,12,4.13,No
Google-Sa-DSA-Postman-Global,visual studio code,7,82,3.93,No
Google-Sa-DSA-Postman-Global,download postman,3,43,3.24,No
Google-Sa-DSA-Global,jmeter,10,124,2.48,No
Google-Sa-DSA-Postman-Global,postman alternatives open source,2,10,2.41,No
Google-Sa-DSA-Global,postman,9,142,2.39,No
Google-Sa-DSA-Global,heygen ai,4,26,2.21,Yes (AI Term)
Google-Sa-DSA-Global,vs code,4,27,1.89,No
Google-Sa-DSA-Postman-Global,postman alternatives free,2,14,1.88,No
Google-Sa-DSA-Global,jmeter download,4,52,1.87,No
Google-Sa-DSA-Global,heygen com,4,15,1.83,No
Google-Sa-DSA-Postman-Global,postman alternative open source,2,22,1.73,No
Google-Sa-DSA-Postman-Global,postman alternative windows,2,3,1.7,No
Google-Sa-DSA-Global,markdown,5,30,1.65,No
Google-Sa-DSA-Global,linux,4,9,1.62,No
Google-Sa-DSA-Postman-Global,claude,5,48,1.58,Yes (AI Term)
Google-Sa-DSA-Postman-Global,403,3,41,1.55,No
Google-Sa-DSA-Global,heygen gratis,3,13,1.52,No
Google-Sa-DSA-Postman-Global,manus ai,2,9,1.48,Yes (AI Term)
Google-Sa-DSA-Global,github,4,47,1.48,No
Google-Sa-DSA-Postman-Global,postman free alternative,1,19,1.43,No
Google-Sa-DSA-Global,websockets,7,65,1.4,No
Google-Sa-DSA-Global,roo code,3,13,1.34,No
Google-Sa-DSA-Postman-Global,alternatives of postman,1,1,1.32,No
Google-Sa-DSA-Postman-Global,https web postman co,1,14,1.32,No
Google-Sa-DSA-Postman-Global,open source alternative,4,18,1.28,No
Google-Sa-DSA-Global,node js download,2,24,1.28,No
Google-Sa-DSA-Postman-Global,alternative of postman free,1,2,1.25,No
