Campaign,Keyword,Match Type
Google-Sa-Postman-Global,javascript,Phrase
Google-Sa-Postman-Global,python,Phrase
Google-Sa-Postman-Global,next js,Phrase
Google-Sa-Postman-Global,app js,Phrase
Google-Sa-Postman-Global,vscode,Phrase
Google-Sa-Postman-Global,visual studio code,Phrase
Google-Sa-Postman-Global,codeium,Phrase
Google-Sa-Postman-Global,vibe coding,Phrase
Google-Sa-Postman-Global,playwright,Phrase
Google-Sa-Postman-Global,selenium,Phrase
Google-Sa-Postman-Global,n8n,Phrase
Google-Sa-Postman-Global,sourcegraph,Phrase
Google-Sa-Postman-Global,postman api network,Exact
Google-Sa-Postman-Global,postman alternative web,Exact
Google-Sa-Postman-Global,other tools like postman,Exact
Google-Sa-Postman-Global,alternative a postman,Exact
Google-Sa-Postman-Global,online postman like tool,Exact
Google-Sa-Postman-Global,postman en francais,Exact
Google-Sa-Postman-Global,online api tester like postman,Exact
Google-Sa-Postman-Global,postman mac,Exact
Google-Sa-Postman-Global,postman opensource,Exact
Google-Sa-Postman-Global,postman collection,Exact
Google-Sa-Doc-Global,javascript,Phrase
Google-Sa-Doc-Global,python,Phrase
Google-Sa-Doc-Global,next js,Phrase
Google-Sa-Doc-Global,app js,Phrase
Google-Sa-Doc-Global,vscode,Phrase
Google-Sa-Doc-Global,visual studio code,Phrase
Google-Sa-Doc-Global,codeium,Phrase
Google-Sa-Doc-Global,vibe coding,Phrase
Google-Sa-Doc-Global,playwright,Phrase
Google-Sa-Doc-Global,selenium,Phrase
Google-Sa-Doc-Global,n8n,Phrase
Google-Sa-Doc-Global,sourcegraph,Phrase
Google-Sa-Doc-Global,next docs,Exact
Google-Sa-Doc-Global,document designer ai,Exact
Google-Sa-Doc-Global,documentacao de api,Exact
Google-Sa-Doc-Global,javascript,Exact
Google-Sa-Doc-Global,api document,Exact
Google-Sa-Doc-Global,apidoc 사용법,Exact
Google-Sa-Doc-Global,rest api docs,Exact
Google-Sa-Doc-Global,google places api,Exact
Google-Sa-Doc-Global,blotato api documentation,Exact
Google-Sa-Mock-Global,javascript,Phrase
Google-Sa-Mock-Global,python,Phrase
Google-Sa-Mock-Global,next js,Phrase
Google-Sa-Mock-Global,app js,Phrase
