周,Utm Source,注册数,有效用户,有效率
2026-7-20 - 2026-7-26,google_search,"1,901",293,15.41%
2026-7-20 - 2026-7-26,blog,"1,227",36,2.93%
2026-7-20 - 2026-7-26,invite,303,125,41.25%
2026-7-20 - 2026-7-26,search_free,281,110,39.15%
2026-7-20 - 2026-7-26,google_dsa,280,27,9.64%
2026-7-20 - 2026-7-26,external_link,225,35,15.56%
2026-7-20 - 2026-7-26,direct,208,60,28.85%
2026-7-20 - 2026-7-26,no_referrer,171,39,22.81%
2026-7-20 - 2026-7-26,exception,141,16,11.35%
2026-7-20 - 2026-7-26,chatgpt.com,25,3,12%
2026-7-20 - 2026-7-26,docs_site,19,2,10.53%
2026-7-20 - 2026-7-26,dev.to,11,1,9.09%
2026-7-20 - 2026-7-26,app.apidog.com,5,1,20%
2026-7-20 - 2026-7-26,dev_to,3,2,66.67%
2026-7-20 - 2026-7-26,opr,3,1,33.33%
2026-7-20 - 2026-7-26,app_cn,2,0,0%
2026-7-20 - 2026-7-26,openapi-tools,2,1,50%
2026-7-20 - 2026-7-26,ai,1,0,0%
2026-7-20 - 2026-7-26,github,1,0,0%
2026-7-20 - 2026-7-26,linkedin,1,0,0%
2026-7-20 - 2026-7-26,perplexity,1,0,0%
2026-7-20 - 2026-7-26,youtube,1,0,0%
2026-7-13 - 2026-7-19,google_search,"1,760",352,20%
2026-7-13 - 2026-7-19,blog,833,27,3.24%
2026-7-13 - 2026-7-19,invite,330,154,46.67%
2026-7-13 - 2026-7-19,google_dsa,283,37,13.07%
2026-7-13 - 2026-7-19,search_free,269,111,41.26%
2026-7-13 - 2026-7-19,external_link,265,58,21.89%
2026-7-13 - 2026-7-19,direct,190,59,31.05%
2026-7-13 - 2026-7-19,no_referrer,171,47,27.49%
2026-7-13 - 2026-7-19,exception,135,27,20%
2026-7-13 - 2026-7-19,docs_site,27,11,40.74%
2026-7-13 - 2026-7-19,chatgpt.com,22,6,27.27%
2026-7-13 - 2026-7-19,dev.to,8,2,25%
2026-7-13 - 2026-7-19,opr,7,3,42.86%
2026-7-13 - 2026-7-19,app.apidog.com,5,1,20%
2026-7-13 - 2026-7-19,app_cn,3,1,33.33%
2026-7-13 - 2026-7-19,dev_to,2,0,0%
2026-7-13 - 2026-7-19,beeceptor.com,1,1,100%
2026-7-13 - 2026-7-19,blogger,1,0,0%
2026-7-13 - 2026-7-19,chatgpt.com?utm_source=chatgpt.com,1,1,100%
2026-7-13 - 2026-7-19,copilot.com,1,0,0%
2026-7-13 - 2026-7-19,github,1,1,100%
2026-7-13 - 2026-7-19,linkedin,1,0,0%
2026-7-13 - 2026-7-19,youtube,1,0,0%
