周,Utm Source,Country,注册数,有效用户,有效率
2026-7-20 - 2026-7-26,google_search,IN,440,85,19.32%
2026-7-20 - 2026-7-26,google_search,EG,108,16,14.81%
2026-7-20 - 2026-7-26,google_search,US,93,16,17.2%
2026-7-20 - 2026-7-26,google_search,PK,87,8,9.2%
2026-7-20 - 2026-7-26,google_search,ID,76,14,18.42%
2026-7-20 - 2026-7-26,google_search,BD,75,1,1.33%
2026-7-20 - 2026-7-26,google_search,BR,72,17,23.61%
2026-7-20 - 2026-7-26,google_search,VN,69,11,15.94%
2026-7-20 - 2026-7-26,google_search,IR,47,3,6.38%
2026-7-20 - 2026-7-26,google_search,,43,1,2.33%
2026-7-20 - 2026-7-26,google_search,DZ,33,2,6.06%
2026-7-20 - 2026-7-26,google_search,PE,27,1,3.7%
2026-7-20 - 2026-7-26,google_search,IQ,24,2,8.33%
2026-7-20 - 2026-7-26,google_search,MX,24,9,37.5%
2026-7-20 - 2026-7-26,google_search,CO,23,5,21.74%
2026-7-20 - 2026-7-26,google_search,MA,21,1,4.76%
2026-7-20 - 2026-7-26,google_search,AU,19,7,36.84%
2026-7-20 - 2026-7-26,google_search,EC,19,2,10.53%
2026-7-20 - 2026-7-26,google_search,CL,18,1,5.56%
2026-7-20 - 2026-7-26,google_search,ET,18,1,5.56%
2026-7-20 - 2026-7-26,google_search,KR,18,11,61.11%
2026-7-20 - 2026-7-26,google_search,PH,18,2,11.11%
2026-7-20 - 2026-7-26,google_search,UA,18,1,5.56%
2026-7-20 - 2026-7-26,google_search,TH,17,3,17.65%
2026-7-20 - 2026-7-26,google_search,NP,16,2,12.5%
2026-7-20 - 2026-7-26,google_search,TR,16,4,25%
2026-7-20 - 2026-7-26,google_search,LK,15,0,0%
2026-7-20 - 2026-7-26,google_search,VE,15,1,6.67%
2026-7-20 - 2026-7-26,google_search,ZA,15,5,33.33%
2026-7-20 - 2026-7-26,google_search,KE,14,2,14.29%
2026-7-20 - 2026-7-26,google_search,TN,14,1,7.14%
2026-7-20 - 2026-7-26,google_search,UZ,13,0,0%
2026-7-20 - 2026-7-26,google_search,MY,12,6,50%
2026-7-20 - 2026-7-26,google_search,NG,11,2,18.18%
2026-7-20 - 2026-7-26,google_search,PL,11,3,27.27%
2026-7-20 - 2026-7-26,google_search,AE,10,4,40%
2026-7-20 - 2026-7-26,google_search,GB,10,6,60%
2026-7-20 - 2026-7-26,google_search,AO,9,1,11.11%
2026-7-20 - 2026-7-26,google_search,AR,9,2,22.22%
2026-7-20 - 2026-7-26,google_search,GT,9,1,11.11%
2026-7-20 - 2026-7-26,google_search,MM,9,0,0%
2026-7-20 - 2026-7-26,google_search,CA,8,0,0%
2026-7-20 - 2026-7-26,google_search,ES,8,3,37.5%
2026-7-20 - 2026-7-26,google_search,JO,8,1,12.5%
2026-7-20 - 2026-7-26,google_search,JP,8,1,12.5%
2026-7-20 - 2026-7-26,google_search,KH,8,1,12.5%
2026-7-20 - 2026-7-26,google_search,TZ,8,0,0%
2026-7-20 - 2026-7-26,google_search,UG,8,0,0%
2026-7-20 - 2026-7-26,google_search,BO,7,2,28.57%
2026-7-20 - 2026-7-26,google_search,BY,7,1,14.29%
2026-7-20 - 2026-7-26,google_search,FR,7,1,14.29%
2026-7-20 - 2026-7-26,google_search,GH,7,0,0%
2026-7-20 - 2026-7-26,google_search,IT,7,0,0%
2026-7-20 - 2026-7-26,google_search,RW,7,1,14.29%
2026-7-20 - 2026-7-26,google_search,SG,6,2,33.33%
2026-7-20 - 2026-7-26,google_search,TG,6,0,0%
2026-7-20 - 2026-7-26,google_search,TW,6,2,33.33%
2026-7-20 - 2026-7-26,google_search,AZ,5,1,20%
2026-7-20 - 2026-7-26,google_search,CI,5,0,0%
2026-7-20 - 2026-7-26,google_search,CN,5,0,0%
2026-7-20 - 2026-7-26,google_search,DE,5,1,20%
2026-7-20 - 2026-7-26,google_search,DO,5,0,0%
2026-7-20 - 2026-7-26,google_search,MN,5,1,20%
2026-7-20 - 2026-7-26,google_search,MZ,5,1,20%
2026-7-20 - 2026-7-26,google_search,PS,5,0,0%
2026-7-20 - 2026-7-26,google_search,SA,5,3,60%
2026-7-20 - 2026-7-26,google_search,SN,5,2,40%
2026-7-20 - 2026-7-26,google_search,YE,5,1,20%
2026-7-20 - 2026-7-26,google_search,AF,4,0,0%
2026-7-20 - 2026-7-26,google_search,DK,4,1,25%
2026-7-20 - 2026-7-26,google_search,LB,4,0,0%
2026-7-20 - 2026-7-26,google_search,LY,4,0,0%
2026-7-20 - 2026-7-26,google_search,MG,4,0,0%
2026-7-20 - 2026-7-26,google_search,CR,3,0,0%
2026-7-20 - 2026-7-26,google_search,CZ,3,0,0%
2026-7-20 - 2026-7-26,google_search,GE,3,0,0%
2026-7-20 - 2026-7-26,google_search,LA,3,0,0%
2026-7-20 - 2026-7-26,google_search,NI,3,0,0%
2026-7-20 - 2026-7-26,google_search,NL,3,0,0%
2026-7-20 - 2026-7-26,google_search,RS,3,1,33.33%
2026-7-20 - 2026-7-26,google_search,SC,3,0,0%
2026-7-20 - 2026-7-26,google_search,SI,3,1,33.33%
2026-7-20 - 2026-7-26,google_search,ZW,3,0,0%
2026-7-20 - 2026-7-26,google_search,AL,2,0,0%
2026-7-20 - 2026-7-26,google_search,AM,2,0,0%
2026-7-20 - 2026-7-26,google_search,BG,2,0,0%
2026-7-20 - 2026-7-26,google_search,CH,2,1,50%
2026-7-20 - 2026-7-26,google_search,CM,2,0,0%
2026-7-20 - 2026-7-26,google_search,GN,2,0,0%
2026-7-20 - 2026-7-26,google_search,GR,2,0,0%
2026-7-20 - 2026-7-26,google_search,HK,2,0,0%
2026-7-20 - 2026-7-26,google_search,LV,2,0,0%
2026-7-20 - 2026-7-26,google_search,MR,2,0,0%
2026-7-20 - 2026-7-26,google_search,OM,2,0,0%
2026-7-20 - 2026-7-26,google_search,PY,2,0,0%
2026-7-20 - 2026-7-26,google_search,QA,2,0,0%
2026-7-20 - 2026-7-26,google_search,SE,2,1,50%
2026-7-20 - 2026-7-26,google_search,SV,2,0,0%
2026-7-20 - 2026-7-26,google_search,BA,1,0,0%
2026-7-20 - 2026-7-26,google_search,BE,1,0,0%
2026-7-20 - 2026-7-26,google_search,BF,1,0,0%
2026-7-20 - 2026-7-26,google_search,BI,1,0,0%
2026-7-20 - 2026-7-26,google_search,BN,1,1,100%
2026-7-20 - 2026-7-26,google_search,BZ,1,0,0%
2026-7-20 - 2026-7-26,google_search,CD,1,0,0%
2026-7-20 - 2026-7-26,google_search,CG,1,0,0%
2026-7-20 - 2026-7-26,google_search,CV,1,0,0%
2026-7-20 - 2026-7-26,google_search,EE,1,0,0%
2026-7-20 - 2026-7-26,google_search,GA,1,0,0%
2026-7-20 - 2026-7-26,google_search,GQ,1,0,0%
2026-7-20 - 2026-7-26,google_search,HN,1,1,100%
2026-7-20 - 2026-7-26,google_search,HT,1,0,0%
2026-7-20 - 2026-7-26,google_search,IL,1,0,0%
2026-7-20 - 2026-7-26,google_search,KW,1,0,0%
2026-7-20 - 2026-7-26,google_search,KZ,1,0,0%
2026-7-20 - 2026-7-26,google_search,LR,1,0,0%
2026-7-20 - 2026-7-26,google_search,LT,1,0,0%
2026-7-20 - 2026-7-26,google_search,ML,1,0,0%
2026-7-20 - 2026-7-26,google_search,MU,1,0,0%
2026-7-20 - 2026-7-26,google_search,MV,1,0,0%
2026-7-20 - 2026-7-26,google_search,MW,1,0,0%
2026-7-20 - 2026-7-26,google_search,NA,1,0,0%
2026-7-20 - 2026-7-26,google_search,NZ,1,0,0%
2026-7-20 - 2026-7-26,google_search,PG,1,1,100%
2026-7-20 - 2026-7-26,google_search,PT,1,0,0%
2026-7-20 - 2026-7-26,google_search,RO,1,0,0%
2026-7-20 - 2026-7-26,google_search,RU,1,0,0%
2026-7-20 - 2026-7-26,google_search,SD,1,0,0%
2026-7-20 - 2026-7-26,google_search,SO,1,0,0%
2026-7-20 - 2026-7-26,google_search,TT,1,0,0%
2026-7-20 - 2026-7-26,google_search,UY,1,0,0%
2026-7-20 - 2026-7-26,google_search,WS,1,0,0%
2026-7-20 - 2026-7-26,google_search,ZM,1,0,0%
2026-7-13 - 2026-7-19,google_search,IN,421,104,24.7%
2026-7-13 - 2026-7-19,google_search,BR,101,28,27.72%
2026-7-13 - 2026-7-19,google_search,EG,90,18,20%
2026-7-13 - 2026-7-19,google_search,ID,87,20,22.99%
2026-7-13 - 2026-7-19,google_search,US,80,18,22.5%
2026-7-13 - 2026-7-19,google_search,PK,79,7,8.86%
2026-7-13 - 2026-7-19,google_search,VN,63,14,22.22%
2026-7-13 - 2026-7-19,google_search,BD,48,1,2.08%
2026-7-13 - 2026-7-19,google_search,IR,41,6,14.63%
2026-7-13 - 2026-7-19,google_search,,36,5,13.89%
2026-7-13 - 2026-7-19,google_search,PE,32,5,15.63%
2026-7-13 - 2026-7-19,google_search,TH,28,6,21.43%
2026-7-13 - 2026-7-19,google_search,EC,26,2,7.69%
2026-7-13 - 2026-7-19,google_search,MX,21,3,14.29%
2026-7-13 - 2026-7-19,google_search,KE,20,2,10%
2026-7-13 - 2026-7-19,google_search,KH,20,5,25%
2026-7-13 - 2026-7-19,google_search,CO,19,5,26.32%
2026-7-13 - 2026-7-19,google_search,DZ,19,0,0%
2026-7-13 - 2026-7-19,google_search,IQ,19,0,0%
2026-7-13 - 2026-7-19,google_search,PH,19,3,15.79%
2026-7-13 - 2026-7-19,google_search,ET,17,3,17.65%
2026-7-13 - 2026-7-19,google_search,MA,17,2,11.76%
2026-7-13 - 2026-7-19,google_search,UA,16,1,6.25%
2026-7-13 - 2026-7-19,google_search,AU,15,5,33.33%
2026-7-13 - 2026-7-19,google_search,TR,15,3,20%
2026-7-13 - 2026-7-19,google_search,MY,14,2,14.29%
2026-7-13 - 2026-7-19,google_search,NG,14,2,14.29%
2026-7-13 - 2026-7-19,google_search,PL,14,5,35.71%
2026-7-13 - 2026-7-19,google_search,CL,13,2,15.38%
2026-7-13 - 2026-7-19,google_search,GB,13,6,46.15%
2026-7-13 - 2026-7-19,google_search,NP,13,0,0%
2026-7-13 - 2026-7-19,google_search,TN,13,1,7.69%
2026-7-13 - 2026-7-19,google_search,AR,12,2,16.67%
