周,Utm Source,注册数,有效用户,有效率
2026-8-10 - 2026-8-16,google_search,"2,053",312,15.2%
2026-8-10 - 2026-8-16,blog,"1,581",28,1.77%
2026-8-10 - 2026-8-16,invite,529,114,21.55%
2026-8-10 - 2026-8-16,google_dsa,354,37,10.45%
2026-8-10 - 2026-8-16,search_free,243,84,34.57%
2026-8-10 - 2026-8-16,external_link,224,48,21.43%
2026-8-10 - 2026-8-16,no_referrer,218,45,20.64%
2026-8-10 - 2026-8-16,direct,186,52,27.96%
2026-8-10 - 2026-8-16,exception,107,17,15.89%
2026-8-10 - 2026-8-16,google_pmax,41,1,2.44%
2026-8-10 - 2026-8-16,docs_site,29,7,24.14%
2026-8-10 - 2026-8-16,opr,12,5,41.67%
2026-8-10 - 2026-8-16,chatgpt.com,11,4,36.36%
2026-8-10 - 2026-8-16,dev.to,6,1,16.67%
2026-8-10 - 2026-8-16,google_display,5,0,0%
2026-8-10 - 2026-8-16,app.apidog.com,4,1,25%
2026-8-10 - 2026-8-16,dev_to,3,0,0%
2026-8-10 - 2026-8-16,app_cn,2,0,0%
2026-8-10 - 2026-8-16,youtube,2,0,0%
2026-8-10 - 2026-8-16,github,1,0,0%
2026-8-10 - 2026-8-16,newsletter,1,0,0%
2026-8-3 - 2026-8-9,google_search,"2,087",361,17.3%
2026-8-3 - 2026-8-9,blog,"2,064",42,2.03%
2026-8-3 - 2026-8-9,invite,337,142,42.14%
2026-8-3 - 2026-8-9,google_dsa,310,33,10.65%
2026-8-3 - 2026-8-9,search_free,253,92,36.36%
2026-8-3 - 2026-8-9,external_link,239,46,19.25%
2026-8-3 - 2026-8-9,no_referrer,198,49,24.75%
2026-8-3 - 2026-8-9,direct,166,57,34.34%
2026-8-3 - 2026-8-9,exception,150,28,18.67%
2026-8-3 - 2026-8-9,google_pmax,146,4,2.74%
2026-8-3 - 2026-8-9,docs_site,27,7,25.93%
2026-8-3 - 2026-8-9,chatgpt.com,17,4,23.53%
2026-8-3 - 2026-8-9,opr,9,2,22.22%
2026-8-3 - 2026-8-9,newsletter,5,1,20%
2026-8-3 - 2026-8-9,dev.to,4,0,0%
2026-8-3 - 2026-8-9,dev_to,3,1,33.33%
2026-8-3 - 2026-8-9,app.apidog.com,2,1,50%
2026-8-3 - 2026-8-9,copilot.com,2,0,0%
2026-8-3 - 2026-8-9,ai,1,0,0%
2026-8-3 - 2026-8-9,app_cn,1,1,100%
2026-8-3 - 2026-8-9,blogger,1,1,100%
2026-8-3 - 2026-8-9,youtube,1,0,0%
2026-7-27 - 2026-8-2,google_search,"1,973",401,20.32%
2026-7-27 - 2026-8-2,blog,"1,537",37,2.41%
2026-7-27 - 2026-8-2,google_dsa,341,38,11.14%
2026-7-27 - 2026-8-2,invite,317,143,45.11%
2026-7-27 - 2026-8-2,search_free,275,97,35.27%
2026-7-27 - 2026-8-2,external_link,256,45,17.58%
2026-7-27 - 2026-8-2,no_referrer,212,55,25.94%
2026-7-27 - 2026-8-2,direct,208,60,28.85%
2026-7-27 - 2026-8-2,exception,120,26,21.67%
2026-7-27 - 2026-8-2,docs_site,23,5,21.74%
2026-7-27 - 2026-8-2,chatgpt.com,21,2,9.52%
2026-7-27 - 2026-8-2,app.apidog.com,11,0,0%
2026-7-27 - 2026-8-2,newsletter,8,0,0%
2026-7-27 - 2026-8-2,opr,8,3,37.5%
2026-7-27 - 2026-8-2,youtube,4,2,50%
2026-7-27 - 2026-8-2,dev_to,3,2,66.67%
2026-7-27 - 2026-8-2,dev.to,2,0,0%
2026-7-27 - 2026-8-2,ai,1,0,0%
2026-7-27 - 2026-8-2,linkedin,1,1,100%
2026-7-27 - 2026-8-2,openai,1,0,0%
2026-7-27 - 2026-8-2,openapi-tools,1,0,0%
2026-7-27 - 2026-8-2,perplexity,1,0,0%
