周,Utm Source,Country,注册数,有效用户,有效率
2026-8-10 - 2026-8-16,google_search,IN,453,92,20.31%
2026-8-10 - 2026-8-16,google_search,EG,127,16,12.6%
2026-8-10 - 2026-8-16,google_search,PK,113,9,7.96%
2026-8-10 - 2026-8-16,google_search,US,91,12,13.19%
2026-8-10 - 2026-8-16,google_search,BD,79,1,1.27%
2026-8-10 - 2026-8-16,google_search,BR,79,11,13.92%
2026-8-10 - 2026-8-16,google_search,VN,79,13,16.46%
2026-8-10 - 2026-8-16,google_search,ID,78,15,19.23%
2026-8-10 - 2026-8-16,google_search,,66,4,6.06%
2026-8-10 - 2026-8-16,google_search,IR,43,4,9.3%
2026-8-10 - 2026-8-16,google_search,PE,31,3,9.68%
2026-8-10 - 2026-8-16,google_search,PH,30,6,20%
2026-8-10 - 2026-8-16,google_search,MX,28,11,39.29%
2026-8-10 - 2026-8-16,google_search,IQ,26,2,7.69%
2026-8-10 - 2026-8-16,google_search,NP,26,1,3.85%
2026-8-10 - 2026-8-16,google_search,DZ,25,3,12%
2026-8-10 - 2026-8-16,google_search,ET,24,1,4.17%
2026-8-10 - 2026-8-16,google_search,CO,22,1,4.55%
2026-8-10 - 2026-8-16,google_search,KR,21,10,47.62%
2026-8-10 - 2026-8-16,google_search,EC,19,1,5.26%
2026-8-10 - 2026-8-16,google_search,TN,19,1,5.26%
2026-8-10 - 2026-8-16,google_search,UA,19,2,10.53%
2026-8-10 - 2026-8-16,google_search,BO,18,0,0%
2026-8-10 - 2026-8-16,google_search,TH,18,4,22.22%
2026-8-10 - 2026-8-16,google_search,UZ,18,1,5.56%
2026-8-10 - 2026-8-16,google_search,LK,17,2,11.76%
2026-8-10 - 2026-8-16,google_search,KE,16,2,12.5%
2026-8-10 - 2026-8-16,google_search,NG,16,1,6.25%
2026-8-10 - 2026-8-16,google_search,TR,16,3,18.75%
2026-8-10 - 2026-8-16,google_search,VE,13,0,0%
2026-8-10 - 2026-8-16,google_search,AR,12,1,8.33%
2026-8-10 - 2026-8-16,google_search,AU,12,8,66.67%
2026-8-10 - 2026-8-16,google_search,CL,11,2,18.18%
2026-8-10 - 2026-8-16,google_search,SA,11,1,9.09%
2026-8-10 - 2026-8-16,google_search,KH,10,1,10%
2026-8-10 - 2026-8-16,google_search,LY,9,3,33.33%
2026-8-10 - 2026-8-16,google_search,MA,9,0,0%
2026-8-10 - 2026-8-16,google_search,MM,9,0,0%
2026-8-10 - 2026-8-16,google_search,RW,9,1,11.11%
2026-8-10 - 2026-8-16,google_search,TG,9,4,44.44%
2026-8-10 - 2026-8-16,google_search,ZA,9,2,22.22%
2026-8-10 - 2026-8-16,google_search,AO,8,2,25%
2026-8-10 - 2026-8-16,google_search,AZ,8,0,0%
2026-8-10 - 2026-8-16,google_search,DE,8,3,37.5%
2026-8-10 - 2026-8-16,google_search,ES,8,1,12.5%
2026-8-10 - 2026-8-16,google_search,FR,8,4,50%
2026-8-10 - 2026-8-16,google_search,JO,8,2,25%
2026-8-10 - 2026-8-16,google_search,MY,8,4,50%
2026-8-10 - 2026-8-16,google_search,PS,8,0,0%
2026-8-10 - 2026-8-16,google_search,SN,8,0,0%
2026-8-10 - 2026-8-16,google_search,TW,8,2,25%
2026-8-10 - 2026-8-16,google_search,GB,7,4,57.14%
2026-8-10 - 2026-8-16,google_search,JP,7,1,14.29%
2026-8-10 - 2026-8-16,google_search,CA,6,0,0%
2026-8-10 - 2026-8-16,google_search,CN,6,0,0%
2026-8-10 - 2026-8-16,google_search,GH,6,0,0%
2026-8-10 - 2026-8-16,google_search,PL,6,1,16.67%
2026-8-10 - 2026-8-16,google_search,RO,6,1,16.67%
2026-8-10 - 2026-8-16,google_search,SG,6,3,50%
2026-8-10 - 2026-8-16,google_search,CI,5,1,20%
2026-8-10 - 2026-8-16,google_search,HK,5,1,20%
2026-8-10 - 2026-8-16,google_search,KG,5,1,20%
2026-8-10 - 2026-8-16,google_search,MD,5,2,40%
2026-8-10 - 2026-8-16,google_search,MZ,5,0,0%
2026-8-10 - 2026-8-16,google_search,TZ,5,0,0%
2026-8-10 - 2026-8-16,google_search,YE,5,0,0%
2026-8-10 - 2026-8-16,google_search,CR,4,1,25%
2026-8-10 - 2026-8-16,google_search,EE,4,1,25%
2026-8-10 - 2026-8-16,google_search,HU,4,0,0%
2026-8-10 - 2026-8-16,google_search,LA,4,2,50%
2026-8-10 - 2026-8-16,google_search,MG,4,0,0%
2026-8-10 - 2026-8-16,google_search,NL,4,0,0%
2026-8-10 - 2026-8-16,google_search,UG,4,0,0%
2026-8-10 - 2026-8-16,google_search,AE,3,1,33.33%
2026-8-10 - 2026-8-16,google_search,AM,3,1,33.33%
2026-8-10 - 2026-8-16,google_search,BF,3,0,0%
2026-8-10 - 2026-8-16,google_search,BJ,3,0,0%
2026-8-10 - 2026-8-16,google_search,DO,3,0,0%
2026-8-10 - 2026-8-16,google_search,GE,3,0,0%
2026-8-10 - 2026-8-16,google_search,GT,3,1,33.33%
2026-8-10 - 2026-8-16,google_search,HN,3,1,33.33%
2026-8-10 - 2026-8-16,google_search,NI,3,0,0%
2026-8-10 - 2026-8-16,google_search,RS,3,0,0%
2026-8-10 - 2026-8-16,google_search,RU,3,2,66.67%
2026-8-10 - 2026-8-16,google_search,SC,3,0,0%
2026-8-10 - 2026-8-16,google_search,SO,3,0,0%
2026-8-10 - 2026-8-16,google_search,ZM,3,1,33.33%
2026-8-10 - 2026-8-16,google_search,ZW,3,0,0%
2026-8-10 - 2026-8-16,google_search,AL,2,0,0%
2026-8-10 - 2026-8-16,google_search,BA,2,0,0%
2026-8-10 - 2026-8-16,google_search,BE,2,0,0%
2026-8-10 - 2026-8-16,google_search,BH,2,0,0%
2026-8-10 - 2026-8-16,google_search,BY,2,1,50%
2026-8-10 - 2026-8-16,google_search,CD,2,1,50%
2026-8-10 - 2026-8-16,google_search,CG,2,0,0%
2026-8-10 - 2026-8-16,google_search,CU,2,0,0%
2026-8-10 - 2026-8-16,google_search,CY,2,0,0%
2026-8-10 - 2026-8-16,google_search,CZ,2,1,50%
2026-8-10 - 2026-8-16,google_search,FI,2,1,50%
2026-8-10 - 2026-8-16,google_search,IL,2,1,50%
2026-8-10 - 2026-8-16,google_search,IT,2,0,0%
2026-8-10 - 2026-8-16,google_search,JM,2,1,50%
2026-8-10 - 2026-8-16,google_search,KZ,2,0,0%
2026-8-10 - 2026-8-16,google_search,LB,2,1,50%
2026-8-10 - 2026-8-16,google_search,MK,2,0,0%
2026-8-10 - 2026-8-16,google_search,NZ,2,1,50%
2026-8-10 - 2026-8-16,google_search,PA,2,0,0%
2026-8-10 - 2026-8-16,google_search,PT,2,0,0%
2026-8-10 - 2026-8-16,google_search,SV,2,1,50%
2026-8-10 - 2026-8-16,google_search,TD,2,0,0%
2026-8-10 - 2026-8-16,google_search,TL,2,0,0%
2026-8-10 - 2026-8-16,google_search,UY,2,1,50%
2026-8-10 - 2026-8-16,google_search,AD,1,0,0%
2026-8-10 - 2026-8-16,google_search,AF,1,0,0%
2026-8-10 - 2026-8-16,google_search,AT,1,0,0%
2026-8-10 - 2026-8-16,google_search,BI,1,0,0%
2026-8-10 - 2026-8-16,google_search,BT,1,0,0%
2026-8-10 - 2026-8-16,google_search,BZ,1,0,0%
2026-8-10 - 2026-8-16,google_search,DJ,1,0,0%
2026-8-10 - 2026-8-16,google_search,DK,1,0,0%
2026-8-10 - 2026-8-16,google_search,GN,1,0,0%
2026-8-10 - 2026-8-16,google_search,GR,1,0,0%
2026-8-10 - 2026-8-16,google_search,KW,1,1,100%
2026-8-10 - 2026-8-16,google_search,LV,1,1,100%
2026-8-10 - 2026-8-16,google_search,ML,1,0,0%
2026-8-10 - 2026-8-16,google_search,MN,1,0,0%
2026-8-10 - 2026-8-16,google_search,MO,1,0,0%
2026-8-10 - 2026-8-16,google_search,MT,1,0,0%
2026-8-10 - 2026-8-16,google_search,MU,1,0,0%
2026-8-10 - 2026-8-16,google_search,NA,1,0,0%
2026-8-10 - 2026-8-16,google_search,NE,1,0,0%
2026-8-10 - 2026-8-16,google_search,NO,1,1,100%
2026-8-10 - 2026-8-16,google_search,PG,1,0,0%
2026-8-10 - 2026-8-16,google_search,QA,1,0,0%
2026-8-10 - 2026-8-16,google_search,SD,1,0,0%
2026-8-10 - 2026-8-16,google_search,SE,1,0,0%
2026-8-10 - 2026-8-16,google_search,SY,1,0,0%
2026-8-10 - 2026-8-16,google_search,TJ,1,0,0%
2026-8-10 - 2026-8-16,google_search,XK,1,0,0%
2026-8-3 - 2026-8-9,google_search,IN,534,96,17.98%
2026-8-3 - 2026-8-9,google_search,EG,134,24,17.91%
2026-8-3 - 2026-8-9,google_search,PK,106,8,7.55%
2026-8-3 - 2026-8-9,google_search,BR,97,19,19.59%
2026-8-3 - 2026-8-9,google_search,US,88,24,27.27%
2026-8-3 - 2026-8-9,google_search,ID,85,19,22.35%
2026-8-3 - 2026-8-9,google_search,VN,75,11,14.67%
2026-8-3 - 2026-8-9,google_search,IR,64,4,6.25%
2026-8-3 - 2026-8-9,google_search,BD,57,8,14.04%
2026-8-3 - 2026-8-9,google_search,,54,6,11.11%
2026-8-3 - 2026-8-9,google_search,MX,43,13,30.23%
2026-8-3 - 2026-8-9,google_search,TH,33,3,9.09%
2026-8-3 - 2026-8-9,google_search,NP,27,1,3.7%
2026-8-3 - 2026-8-9,google_search,CO,25,4,16%
2026-8-3 - 2026-8-9,google_search,MA,24,4,16.67%
2026-8-3 - 2026-8-9,google_search,DZ,23,2,8.7%
2026-8-3 - 2026-8-9,google_search,PH,23,1,4.35%
2026-8-3 - 2026-8-9,google_search,TN,23,5,21.74%
2026-8-3 - 2026-8-9,google_search,AU,22,7,31.82%
2026-8-3 - 2026-8-9,google_search,IQ,20,0,0%
2026-8-3 - 2026-8-9,google_search,ET,19,3,15.79%
2026-8-3 - 2026-8-9,google_search,PE,19,0,0%
2026-8-3 - 2026-8-9,google_search,LK,18,1,5.56%
2026-8-3 - 2026-8-9,google_search,NG,15,5,33.33%
2026-8-3 - 2026-8-9,google_search,TR,15,3,20%
2026-8-3 - 2026-8-9,google_search,FR,14,8,57.14%
2026-8-3 - 2026-8-9,google_search,KH,14,3,21.43%
2026-8-3 - 2026-8-9,google_search,CL,12,4,33.33%
2026-8-3 - 2026-8-9,google_search,IT,12,4,33.33%
2026-8-3 - 2026-8-9,google_search,KR,12,5,41.67%
2026-8-3 - 2026-8-9,google_search,UZ,12,2,16.67%
2026-8-3 - 2026-8-9,google_search,VE,12,1,8.33%
2026-8-3 - 2026-8-9,google_search,ZA,12,1,8.33%
2026-8-3 - 2026-8-9,google_search,EC,11,1,9.09%
2026-8-3 - 2026-8-9,google_search,KE,11,2,18.18%
2026-8-3 - 2026-8-9,google_search,RW,11,3,27.27%
2026-8-3 - 2026-8-9,google_search,SA,11,4,36.36%
2026-8-3 - 2026-8-9,google_search,PL,10,3,30%
2026-8-3 - 2026-8-9,google_search,SG,10,5,50%
2026-8-3 - 2026-8-9,google_search,UA,10,4,40%
2026-8-3 - 2026-8-9,google_search,GH,9,0,0%
2026-8-3 - 2026-8-9,google_search,GT,9,0,0%
2026-8-3 - 2026-8-9,google_search,MY,9,1,11.11%
2026-8-3 - 2026-8-9,google_search,CN,8,2,25%
2026-8-3 - 2026-8-9,google_search,DE,8,3,37.5%
2026-8-3 - 2026-8-9,google_search,DO,8,0,0%
2026-8-3 - 2026-8-9,google_search,JO,8,3,37.5%
2026-8-3 - 2026-8-9,google_search,AO,7,1,14.29%
2026-8-3 - 2026-8-9,google_search,BO,7,1,14.29%
2026-8-3 - 2026-8-9,google_search,ES,7,2,28.57%
2026-8-3 - 2026-8-9,google_search,GB,7,3,42.86%
2026-8-3 - 2026-8-9,google_search,MM,7,2,28.57%
2026-8-3 - 2026-8-9,google_search,AR,6,2,33.33%
2026-8-3 - 2026-8-9,google_search,AZ,6,0,0%
2026-8-3 - 2026-8-9,google_search,NL,6,0,0%
2026-8-3 - 2026-8-9,google_search,PS,6,0,0%
2026-8-3 - 2026-8-9,google_search,RS,6,1,16.67%
2026-8-3 - 2026-8-9,google_search,AF,5,0,0%
2026-8-3 - 2026-8-9,google_search,SN,5,3,60%
2026-8-3 - 2026-8-9,google_search,SO,5,1,20%
2026-8-3 - 2026-8-9,google_search,UG,5,0,0%
2026-8-3 - 2026-8-9,google_search,YE,5,0,0%
2026-8-3 - 2026-8-9,google_search,HN,4,0,0%
